epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3185.75,0.22882,0.2862,0.89796,0.99509,1,0.995,0.97791,0.16311,0.29569,0.83451,0.000709809,0.000709809,0.000709809
60,3236.29,0.2558,0.28119,0.90249,0.98985,1,0.995,0.97859,0.16662,0.32632,0.83849,0.000693305,0.000693305,0.000693305
61,3286.24,0.24055,0.27244,0.89847,0.99452,0.97222,0.99368,0.98568,0.15449,0.30678,0.83646,0.000676802,0.000676802,0.000676802
62,3337.46,0.21799,0.27488,0.8933,0.99438,0.97222,0.99368,0.98567,0.14803,0.29281,0.83488,0.000660299,0.000660299,0.000660299
63,3387.17,0.24496,0.2843,0.89081,0.98723,0.99855,0.995,0.98186,0.14311,0.29607,0.83629,0.000643795,0.000643795,0.000643795
64,3437.57,0.23355,0.28554,0.8977,0.99471,1,0.995,0.98477,0.13842,0.27481,0.83327,0.000627292,0.000627292,0.000627292
65,3488.91,0.2617,0.28009,0.93159,0.99475,1,0.995,0.99326,0.12831,0.26276,0.82931,0.000610789,0.000610789,0.000610789
66,3541.68,0.23681,0.27734,0.88433,0.99552,1,0.995,0.99326,0.13832,0.27461,0.83232,0.000594286,0.000594286,0.000594286
67,3591.72,0.23462,0.27743,0.89191,0.99247,1,0.995,0.99326,0.12688,0.26999,0.82811,0.000577782,0.000577782,0.000577782
68,3644.46,0.25095,0.27843,0.90639,0.99721,1,0.995,0.995,0.13701,0.25287,0.82812,0.000561279,0.000561279,0.000561279
69,3697.38,0.24068,0.27037,0.89144,0.99742,1,0.995,0.995,0.13109,0.2532,0.82843,0.000544776,0.000544776,0.000544776
70,3749.06,0.21211,0.26663,0.87217,0.99735,1,0.995,0.995,0.13113,0.24451,0.82419,0.000528272,0.000528272,0.000528272
71,3798.71,0.23419,0.27096,0.90169,0.99737,1,0.995,0.995,0.13031,0.25366,0.82141,0.000511769,0.000511769,0.000511769
72,3850.26,0.2168,0.25194,0.89117,0.99727,1,0.995,0.995,0.10621,0.22149,0.8165,0.000495266,0.000495266,0.000495266
73,3900.35,0.22517,0.25348,0.9023,0.99696,1,0.995,0.995,0.11797,0.22663,0.81916,0.000478762,0.000478762,0.000478762
74,3949.42,0.23664,0.25196,0.89519,0.99661,1,0.995,0.995,0.11804,0.22925,0.82077,0.000462259,0.000462259,0.000462259
75,3993.76,0.20179,0.25504,0.87934,0.9964,1,0.995,0.995,0.10861,0.22495,0.81963,0.000445756,0.000445756,0.000445756
76,4045.13,0.21963,0.24943,0.89402,0.9961,1,0.995,0.995,0.11667,0.22862,0.82358,0.000429253,0.000429253,0.000429253
77,4094.1,0.21452,0.249,0.87531,0.99572,1,0.995,0.995,0.126,0.23324,0.82807,0.000412749,0.000412749,0.000412749
78,4141.2,0.2289,0.24792,0.8935,0.99599,1,0.995,0.99235,0.12176,0.22632,0.83016,0.000396246,0.000396246,0.000396246
79,4190.95,0.19296,0.22757,0.88994,0.99631,1,0.995,0.98942,0.13131,0.26772,0.83797,0.000379743,0.000379743,0.000379743
80,4238.54,0.20639,0.23512,0.88919,0.99633,1,0.995,0.98909,0.12732,0.26101,0.8346,0.000363239,0.000363239,0.000363239
